약용식물번호,식물분류명,약용식물종명,식물과명,식물종학명,삭물생태설명,약용식물분포설명,약용식물약재명,이용방법설명,약용식물효과설명,약용식물복용방법설명
335,피자식물/쌍자엽식물,쓴풀,용담과(Gentianaceae),Swertia japonica (Schult.) Makino,햇볕이 잘 드는 메마른 곳에 자라는 1∼2년 초로 원줄기는 약간 네모가 지고 자줏빛이 돌며 전체에 털이 없다. 잎은 대생하며 잎자루가 없고 선형이며 가장자리가 약간 뒤로 말린다. 꽃은 자주색으로 9∼10월에 가지 끝에 원추형으로 모여 달린다. 열매는 삭과로 꽃부리보다 약간 길고 종자는 둥글고 밋밋하다. ☞ 자주쓴풀에 비해 잎이 선상 장타원형으로 끝이 둔하다.,"한국(경남북), 중국, 일본",당약(當藥),전초를 꽃이 필 때 채취하여 햇볕에 말린다.,"감기, 강심, 개선, 건위, 결막염, 경풍, 골수염, 과식, 관절염, 구충, 발모, 소아경풍, 소화불량, 습진, 윤피부, 청열, 태독, 폐기천식, 하리, 해독, 어지럼 구토","(내복): 탕전(湯煎)하거나, 산제로 하여 복용한다. (외용): 달인 물로 상처부위에 바른다."
336,피자식물/쌍자엽식물,노랑어리연꽃,조름나물과(Menyanthaceae),Nymphoides peltata (J. G. Gmelin) Kuntze,연못이나 도랑에 자라는 다년생 수초로 수염 같은 뿌리가 있고 원줄기는 가늘며 1∼3개의 잎이 드문드문 달린다. 잎은 물 위에 뜨고 원심형이며 밑부분이 깊이 갈라진다. 꽃은 밝은 황색으로 7∼9월에 잎겨드랑이에 달린다. 열매는 삭과로 장타원형이고 종자는 넓은 타원형이며 갈색 또는 회백색이다. ☞ 어리연꽃에 비해 꽃이 황색으로 대형이다.,"한국(중부이남), 중국, 일본, 러시아, 몽고, 유럽",행채(ㅁ采),"전초를 꽃이 필 때 채취하여 햇볕에 말리거나, 선용(鮮用)한다.","건위, 고미, 발한, 사열, 옹종, 이뇨, 청열, 투진, 한열왕래, 해독, 해열","(내복): 탕전(湯煎)하거나, 즙을 내어 복용한다. (외용): 짓찧어 상처부위에 붙인다."
337,피자식물/쌍자엽식물,협죽도,협죽도과(Apocynaceae),Nerium oleander L.,인도 원산의 상록관목으로 높이가 3m에 달한다. 잎은 윤생하고 선형이며 두껍고 양면에 털이 없으며 가장자리가 밋밋하다. 꽃은 적색 또는 백색으로 7∼8월에 가지 끝에 취산화서로 달린다. 열매는 골돌로 선형이고 종자는 연한 갈색이며 털이 밀생한다.,"한국(전국), 인도",협죽도(夾竹桃),잎과 수피를 수시로 채취하여 햇볕에 말린다.,"간질, 강심제, 경련, 고혈압, 이뇨, 진경, 타박상, 폐기천식, 해수","(내복): 탕전(湯煎)하거나, 가루를 내어 복용한다. (외용): 짓찧어 상처부위에 붙인다. ☞ 유독하므로 복용에 주의해야 한다."
338,피자식물/쌍자엽식물,마삭줄,협죽도과(Apocynaceae),Trachelospermum asiaticum (Siebold & Zucc.) Nakai,상록 덩굴식물로 길이가 5m에 달하고 줄기에서 뿌리가 내려 다른 물체에 잘 붙는다. 잎은 대생하고 타원형이고 둔두 예저이며 표면이 짙은 녹색이고 가장자리가 밋밋하다. 꽃은 백색에서 황색으로 변하고 5∼6월에 잎겨드랑이와 가지 끝에 취산화서로 달린다. 열매는 골돌로 2개가 서로 평행하거나 예각으로 벌어진다. ☞ 털마삭줄보다 수술은 통부 위쪽에 붙고 꽃받침은 소형이다.,"한국(남부), 일본",낙석등(絡石藤),경엽을 수시로 채취하여 햇볕에 말린다.,"간염, 강장, 강장 보호, 거풍, 거풍통락, 경혈, 관절염, 관절통, 구열, 근골통, 안태, 양혈소종, 인후염, 인후 통증, 림프절염, 제습, 종기, 종독, 지리, 지혈, 진통, 타박상, 토혈 각혈, 통경, 통리수도, 편도선염, 풍, 풍비, 풍한, 해열, 활혈","(내복): 탕전(湯煎)하거나, 술에 담가서 복용한다. (외용): 짓찧어 상처부위에 붙이거나, 가루 내어 상처 부위에 개어 붙인다. ☞ 비위가 허약한 자는 복용을 금한다."
391,피자식물/쌍자엽식물,산꼬리풀,현삼과(Scrophulariaceae),Veronica rotunda var. subintegra (Nakai) T.Yamaz,초원에 자라는 다년초로서 높이 40∼80㎝이고 굽은 털이 산생한다. 잎은 대생하고 난형 또는 장타원형이고 끝이 뾰족하며 불규칙한 뾰족한 톱니가 있다. 꽃은 벽자색으로 8월에 원줄기 끝과 가지 끝에 총상화서로 달린다. 열매는 편원형 또는 넓은 도란형이고 꽃받침보다 길다. ☞ 긴산꼬리풀에 비해 줄기에 굽은 털이 산생한다.,"한국(전국), 중국, 일본, 러시아",일지향(一枝香),전초를 꽃이 필 때 채취하여 햇볕에 말린다.,"기관지염, 방광염, 외상, 요통, 중풍, 폐기천식, 해수",(내복): 탕전(湯煎)하여 복용한다.
392,피자식물/쌍자엽식물,냉초,현삼과(Scrophulariaceae),Veronicastrum sibiricum (L.) Pennell,산의 습지에 자라는 다년초로 높이 50∼90㎝이고 총생한다. 잎은 3∼8개씩 여러층으로 윤생하며 타원형이고 끝이 뾰족하며 가장자리에 톱니가 있다. 꽃은 홍자색으로 7∼8월에 원줄기 끝에 총상화서로 달린다. 열매는 삭과로 끝이 뾰족한 넓은 난형이며 밑부분에 꽃받침이 달려있다. ☞ 꼬리풀속에 비해 잎이 윤생하고 화관은 통모양으로 짧게 갈라진다.,"한국(전국), 중국, 일본, 러시아","참룡검(斬龍劍), 산편초(山鞭草)",전초를 꽃이 필 때 채취하여 햇볕에 말린다.,"기관지염, 방광염, 외상, 요통, 중풍, 폐기천식, 해수",(내복): 탕전(湯煎)하여 복용한다. (외용): 짓찧어 상처부위에 붙인다.
393,피자식물/쌍자엽식물,능소화,능소화과(Bignoniaceae),Campsis grandiflora (Thunb.) K.Schum.,재배하는 낙엽덩굴식물로서 길이가 10m에 달하고 흡근이 생겨서 벽에 붙어 올라간다. 잎은 대생하며 홀수1회우상복엽이고 소엽은 7∼9개이며 가장자리에 톱니와 털이 있다. 꽃은 황홍색으로 8∼9월에 가지 끝에 원추화서로 달린다. 열매는 삭과로 네모지고 2개로 갈라진다. ☞ 개오동나무에 비해 줄기가 넌출성이다.,"한국(전국), 중국",능소화(ㅁㅁ花),꽃을 7∼8월에 채취하여 햇볕에 말린다.,"강정안정, 대하증, 산후통, 안정, 양혈, 양혈거풍, 어혈, 월경이상, 이뇨, 이완출혈, 정혈, 주비, 주체, 주황병, 진통, 창종, 타박상, 통경, 통리수도, 풍진, 피부소양, 혈폐, 활혈파어",(내복): 탕전(湯煎)하여 복용한다. (외용): 물로 달여서 상처부위에 바르거나 닦아낸다. ☞ 임산부는 복용을 금한다.
394,피자식물/쌍자엽식물,개오동,능소화과(Bignoniaceae),Catalpa ovata G.Don,식재되는 낙엽교목으로 높이가 10m에 달하고 가지가 퍼지고 잔가지에 털이 있거나 없다. 잎은 대생 또는 3윤생하며 넓은 난형이고 점첨두이며 심장저이고 3∼5개로 갈라진다. 꽃은 황백색으로서 6월에 가지 끝에 원추화서로 달린다. 열매는 삭과로 10월에 익는다.,"한국(전국), 중국","재실(梓實), 재백피(梓白皮)","수피와 근피, 열매가 절반정도 검은색을 변할 때 채취하여 햇볕에 말린다.","각기, 간염, 감비, 강장, 강장보호, 건위, 고혈압, 구충, 부종, 신장염, 양모발약, 요도염, 요독증, 위궤양, 위암, 이뇨, 종독, 종창, 진통, 창종, 청열, 충치, 치핵, 탈항, 통리수도, 피부소양증, 해독, 해열, 혈뇨, 화상, 황달","(내복): 탕전(湯煎)하거나, 산제로 복용한다. ☞ 수피와 근피는 재백피(梓白皮)로 쓴다."
395,피자식물/쌍자엽식물,참깨,참깨과(Pedaliaceae),Sesamum indicum L.,재배하는 1년초로서 높이가 1m에 달하고 원줄기는 4각형이고 부드러운 털이 밀생한다. 잎은 대생하고 잎자루가 길며 장타원형 또는 피침형으로 끝이 뾰족하고 가장자리는 밋밋하며 밑부분의 것은 3개로 갈라진다. 꽃은 백색으로 7∼8월에 잎겨드랑이에 달린다. 열매는 짧은 원추형으로 4실이다.,"한국(전국), 인도, 이집트",흑지마(黑芝麻),흑색종자를 8∼9월에 채취하여 햇볕에 말린다.,"강장 보호, 건망증, 견골, 고혈압, 관절염, 당뇨병, 동맥경화증, 목소양증, 보익정활, 부인 하혈, 사리 산통, 소아 변비증, 안정피로, 외이도염, 원형탈모증, 위궤양, 위암, 유즙 결핍, 자양강장, 저혈압, 정력증진, 종창, 중이염, 진통, 편도선염, 폐결핵, 피부 윤택, 하리, 허약체질 등","(내복): 탕전(湯煎)하거나, 환제 또는 산제로 복용한다. (외용): 기름을 짜거나 짓찧어 상처부위에 바르거나 붙인다."
396,피자식물/쌍자엽식물,질경이,질경이과(Plantaginaceae),Plantago asiatica L.,길가나 들에 자라는 다년초로서 길이 4∼15㎝이고 원줄기가 없다. 잎은 타원형 또는 난형이며 평행맥이 있고 가장자리가 물결형이다. 꽃은 백색으로 6∼8월에 잎 사이에서 꽃자루가 나와서 꽃 이삭처럼 밀착한다. 열매는 삭과로 꽃받침보다 2배 정도 길며 6∼8개의 종자가 나온다. ☞ 왕질경이에 비해 삭과당 종자가 6∼8개이며 크고 흑갈색이다.,"한국(전국), 중국, 일본, 러시아, 히말라야, 자바",차전자(車前子),과실 성숙기에 종자를 채취하여 햇볕에 말린다.,"간염, 강심제, 경혈, 고혈압, 관절염, 금창, 기관지염, 방광염, 부인 하혈, 소아 해열, 심장염, 양위, 위궤양, 유방암, 음낭습, 인두염, 임질, 자궁내막염, 전립선비대증, 정력증진, 조루증, 지사, 진해, 척추질환, 청간 명목, 치조농루, 토혈 각혈, 폐결핵, 피부소양증, 피부 윤택 등","(내복): 탕전(湯煎)하거나, 환제 또는 산제로 복용한다. (외용): 가루 내거나 물로 달여 상처부위에 뿌리거나 개어 붙인다."
397,피자식물/쌍자엽식물,갈퀴덩굴,꼭두서니과(Rubiaceae),Galium spurium var. echinospermon (Wallr.) Hayek,길가나 들에 자라는 1∼2년생 덩굴식물로서 길이 60∼90㎝이고 원줄기는 네모가 진다. 잎은 6∼8개가 윤생하고 도피침형이며 둔두이고 까락 같은 끝으로 되고 주맥에 잔가시가 있다. 꽃은 홍록색으로 5∼6월에 잎겨드랑이에서 취산화서로 달린다. 열매는 분과로 2개가 함께 붙어 있으며 갈고리 같은 털로 덮여있다. ☞ 큰잎갈퀴에 비해 1∼2년초로서 끝이 까락으로 끝난다.,"한국(전국), 중국, 일본, 러시아, 유럽, 아프리카","팔선초(八仙草), 거거등(鋸鋸藤)",전초를 여름에 채취하여 햇볕에 말린다.,"고혈압, 산어혈, 소종, 식도암, 요혈, 유방암, 자궁암, 중이염, 진통, 청습열, 타박상, 폐암, 피부암, 해독, 혈뇨","(내복): 탕전(湯煎)하거나, 즙을 내어 복용한다. (외용): 짓찧어 상처부위에 붙인다."
398,피자식물/쌍자엽식물,솔나물,꼭두서니과(Rubiaceae),Galium verum var. asiaticum Nakai,산야에 자라는 다년초로서 높이 70∼100㎝이고 곧추 자라며 윗부분에서 가지가 갈라진다. 잎은 8∼10개가 윤생하며 선형이고 끝이 뾰족하며 뒷면 마디에 털이 있다. 꽃은 황색으로 6∼8월에 잎겨드랑이와 원줄기 끝에 원추화서로 달린다. 열매는 분과로 2개씩 달리고 털이 없다.,"한국(전국), 중국, 일본, 러시아, 몽고, 유럽",봉자채(蓬子菜),전초를 채취하여 말린다.,"간염, 감기, 독사교상, 월경이상, 인후통증, 종독, 지양, 청열해독, 타박상, 편도선염, 피부염, 해독, 해열, 행혈, 활혈, 황달",(내복): 탕전(湯煎)하여 복용한다.
399,피자식물/쌍자엽식물,백운풀,꼭두서니과(Rubiaceae),Hedyotis diffusa Willd.,산기슭 습지에 자라는 일년초로 줄기는 가늘고 높이 10∼20㎝이며 털이 없다. 잎은 대생하고 넓은 선형 또는 선형으로 양끝이 좁고 가장자리는 까칠까칠하다. 꽃은 백색으로 8∼9월 줄기와 잎 사이에 달린다. 열매는 삭과로 구형이며 종자에 능각이 있다. ☞ 수염치자풀에 비해 탁엽은 짧은 톱니가 있으며 꽃받침통은 편구형으로 얕은 홈이 있다.,"한국(남부), 중국, 일본, 대만, 말레이시아, 인도",백화사설초(白花蛇舌草),전초를 여름과 가을에 채취하여 햇볕에 말린다.,"간염, 골반염, 이질, 인후염, 종기, 청열이습, 편도선염, 해독, 해수",(내복): 탕전(湯煎)하여 복용한다. (외용): 가루 내어 상처부위에 붙인다.
400,피자식물/쌍자엽식물,치자나무,꼭두서니과(Rubiaceae),Gardenia jasminoides J.Ellis,식재되는 상록관목으로 높이 1.5∼2m이고 잔가지는 어릴 때 먼지 같은 털이 있다. 잎은 대생하고 장타원형 또는 도피침형이며 첨두 예저이며 표면에 윤채가 있다. 꽃은 백색으로 5∼6월에 가지 끝에 달린다. 열매는 9월에 황록색으로 익으며 세로로 6∼7개의 능각이 있다.,"한국(전국), 중국, 일본, 대만, 인도지나",치자(梔子),과실 성숙기에 채취하여 햇볕이나 화력으로 말린다.,"각혈, 간염, 감기, 강장 보호, 갱년기장애, 결막염, 경혈, 골절증, 구내염, 당뇨, 목소양증, 백리, 불면, 소염, 양혈, 어혈, 오지, 위경련, 위장염, 이뇨, 일체안병, 임질, 적백리, 정혈, 지혈, 진정, 진통, 추간판탈출증, 타박상, 토혈, 토혈 각혈, 편도선염, 해열, 혈뇨, 황달, 흉통","(내복): 탕전(湯煎)하거나, 환제 또는 산제로 복용한다. (외용): 가루 내어 상처부위에 개어 붙인다."
401,피자식물/쌍자엽식물,계요등,꼭두서니과(Rubiaceae),Paederia scandens (Lour.) Merr.,산기슭 양지나 물가에 자라는 낙엽덩굴식물로서 길이 5∼7m이고 겨울동안 죽는다. 잎은 대생하고 난형 또는 피침형이며 끝은 길게 뾰족하고 심장저이며 가장자리가 밋밋하다. 꽃은 백색으로 7∼8월에 가지 끝이나 잎겨드랑이에 원추화서 또는 취산화서로 달린다. 열매는 핵과로 둥글고 황갈색으로 익고 털이 없다. ☞ 호자덩굴에 비해 넌출성이고 낙엽이다.,"한국(전국), 중국, 일본, 대만, 필리핀","계시등(鷄屎藤), 취피등(臭皮藤)","경엽을 여름, 가을에 채취하여 햇볕이나 그늘에서 말린다.","간염, 감기, 거담, 거풍, 골수염, 관절염, 급성간염, 기관지염, 내풍, 무월경, 비괴, 식적, 신장염, 아통, 이질, 제습, 종독, 지혈, 진통, 충독, 타박상, 풍, 해수, 활혈, 해소, 해독, 황달, 흉협고만","(내복): 탕전(湯煎)하거나, 술에 담가 복용한다. (외용): 짓찧거나 물로 달여서 상처부위에 붙이거나 닦아낸다."
402,피자식물/쌍자엽식물,백정화,꼭두서니과(Rubiaceae),Serissa japonica (Thunb.) Thunb.,재배하는 상록관목으로 높이가 1m에 달하고 가지가 많이 갈라진다. 잎은 대생하며 타원형이고 끝이 뾰족하며 가장자리가 밋밋하고 떡잎이 가시털 같이 된다. 꽃은 백색 또는 홍자색으로 5∼6월에 잎겨드랑이에 달린다.,"한국(전국), 중국, 일본, 대만, 인도지나",백마골(白馬骨),잎과 가지를 채취하여 말린다.,"거풍, 나력, 목적 동통, 수종, 이질, 청열, 치통, 풍습, 후통.   ",(내복): 탕전(湯煎)하여 복용한다. (외용): 짓찧어 즙을 내어 상처부위에 바른다.
473,피자식물 / 단자엽식물,보리,벼과(Gramineae),Hordeum vulgare var. hexastichon (L.) Asch.,재배하는 이년 초로 높이가 1m에 달하고 곧추 자라고 원줄기 속이 비고 원기둥꼴이다. 잎은 호생하며 넓은 선상 피침형이고 녹색 바탕에 흰빛이 돌고 원줄기를 둘러싸는 잎집으로 된다. 꽃은 4∼5월에 피고 소수는 3개씩 꽃차례 축 좌우에 달린다. 포영은 2 맥이고 호영 끝에 까끄라기가 있거나 없다.,"한국(전국), 서부아시아",맥아(麥芽),5∼6월에 채취하여 햇볕에 말린 후 종자를 발아시켜 약용한다.,"각기, 간 기능회복, 감기, 강장 보호, 건비, 건선, 건위, 구토, 부인 하혈, 식감 저체, 식병나체, 식우유체, 요독증, 위궤양, 위 무력증, 위산과소증, 유선염, 유즙 결핍, 윤장, 음수체, 임질, 자양강장, 진통, 칠독, 타박상, 폐기천식, 현훈, 황달","(내복): 탕전(湯煎)하거나, 환제 또는 가루약으로 복용한다."
405,피자식물/쌍자엽식물,말오줌나무,인동과(Caprifoliaceae),Sambucus sieboldiana var. pendula (Nakai) T.B.Lee,산기슭 물가에 자라는 낙엽관목으로 높이 3∼5m이며 줄기에 코르크가 발달한다. 잎은 대생하며 2∼3쌍의 소엽으로 구성된 홀수 1회 우상복엽이며 소엽은 피침형이고 점첨두 예저이며 가장자리의 톱니가 안으로 굽는다. 꽃은 황백색으로 6월에 산방상 원추화서로 달린다. 열매는 둥글며 7월에 적색으로 익는다. ☞ 딱총나무보다 잎에 광채가 있고 화서는 밑으로 드리운다.,한국(울릉도) 특산,접골목(接骨木),굵은 가지를 가을부터 겨울까지 채취하여 말린다.,"각기, 건비위, 나창, 자궁하수, 제습, 진통, 탄산토산, 탈항, 통리수도, 풍, 풍사, 풍한, 각기, 감기, 경련, 골절증, 관절염, 자한, 정혈, 제습, 지혈, 진통, 타박상, 통풍, 활혈.",(내복): 탕전(湯煎)하여 복용한다.
406,피자식물/쌍자엽식물,가막살나무,인동과(Caprifoliaceae),Viburnum dilatatum Thunb.,산중턱 이하의 숲에 자라는 낙엽관목으로 높이가 3m에 달하고 어린 가지에 성모와 선점이 있다. 잎은 대생하고 아원형 또는 난형이고 점첨두이며 원저 또는 아심장저이며 뒷면에 선점이 있다. 꽃은 백색으로 5월에 복상화서로 달린다. 열매는 핵과로 9월에 적색으로 익는다. ☞ 산가막살나무에 비해 전주에 털이 있고 화서에 성상모가 있다.,"한국(중남부), 중국, 일본",협미(莢迷),줄기와 잎를 채취하여 말린다.,"감기, 부종, 이뇨, 정혈, 종기, 지혈, 청열해독, 편도선염, 호흡기감염증.",(내복): 탕전(湯煎)하여 복용한다.
407,피자식물/쌍자엽식물,백당나무,인동과(Caprifoliaceae),Viburnum opulus var. calvescens (Rehder) Hara,낙엽관목으로 높이가 3m에 달하고 어린 가지에 잔털이 있다. 잎은 대생하며 끝이 3개로 갈라지고 양쪽 2개의 열편이 밖으로 벌어지며 점첨두이고 원저이다. 꽃은 5∼6월에 가지 끝에 달린다. 열매는 둥글고 적색으로 익으며 겨울까지 달려있다. ☞ 배암나무에 비해 화서 주변의 큰꽃이 무성하다.,"한국(전국), 중국, 일본, 러시아","계수조(鷄樹條), 불두수(佛頭樹)",가지와 잎을 봄부터 여름에 채취하여 햇볕에 말린다.,"가려움증, 개선, 거풍통락, 관절염, 관절통, 버짐, 악창, 옴, 종독, 진통, 타박상, 통경, 풍, 화혈소종","(내복): 탕전(湯煎)하거나, 산제로 복용한다. (외용): 물로 달여 상처부위를 닦아낸다."
408,피자식물/쌍자엽식물,마타리,마타리과(Valerianaceae),Patrinia scabiosaefolia Fisch. ex Trevir.,양지바른 산기슭에 자라는 다년초로서 높이 60∼150㎝이고 원줄기는 곧추 자라고 윗부분에서 가지가 갈라진다. 잎은 대생하고 깃처럼 갈라지며 양면에 누운 털이 있다. 꽃은 황색으로 7∼8월에 원줄기 끝이나 가지 끝에 산방상으로 달린다. 열매는 타원형이며 복면에 맥이 있고 뒷면에 능선이 있다. ☞ 뚝갈에 비해 전체에 털이 적고 꽃이 황색이다.,"한국(전국), 중국, 일본, 러시아, 몽골",패장(敗醬),뿌리를 여름부터 가을에 채취하여 햇볕에 말린다.,"간염, 개선, 거어지통, 급성간염, 대하증, 단독, 부종, 소염, 소종배농, 안질, 어혈, 옹종, 위궤양, 위장염, 일체안병, 정양, 정혈, 종창, 진통, 청열해독, 피부소양증, 해독, 해열, 화상, 활혈","(내복): 탕전(湯煎)하거나, 환제로 복용한다. (외용): 짓찧어 상처부위에 붙인다."
409,피자식물/쌍자엽식물,뚝갈,마타리과(Valerianaceae),Patrinia villosa (Thunb.) Juss.,양지바른 산기슭에 자라는 다년초로서 높이가 1m에 달하고 흰털이 많다. 잎은 대생하고 단순하거나 깃처럼 갈라지며 뒷면은 흰빛이 돌며 가장자리에 톱니가 있다. 꽃은 백색으로 7∼8월에 원줄기 끝이나 가지 끝에 산방상으로 달린다. 열매는 도란형이며 뒷면은 둥글다. ☞ 마타리보다 전체에 털이 많고 꽃이 백색이다.,"한국(전국), 중국, 일본, 대만",패장(敗醬),뿌리를 가을에 채취하여 햇볕에 말린다.,"간열, 간염, 개선, 거어지통, 경혈, 단독, 대하증, 부종, 산후제증, 소염, 소종, 배농, 안질, 어혈, 열독증, 열병, 옹종, 위궤양, 이하선염, 자궁내막염, 자궁암, 장위카타르, 정혈, 종기, 종창, 진통, 청혈해독, 치열, 치질, 치핵, 풍독, 풍비, 해독, 해열, 화상, 후두암","(내복): 탕전(湯煎)하거나, 환제로 복용한다. (외용): 짓찧어 상처부위에 붙인다."
423,피자식물/쌍자엽식물,더덕,초롱꽃과(Campanulaceae),Codonopsis lanceolata (Siebold & Zucc.) Trautv.,숲에 자라는 다년생 덩굴식물로서 길이 2m에 달하고 털이 없고 자르면 유액이 나온다. 잎은 호생하며 가지 끝에서는 4개의 잎이 서로 근접하여 모여달린 것 같고 피침형 또는 장타원형이다. 꽃은 8∼9월에 가지 끝에 밑을 향해 달리며 꽃받침은 5개로 갈라진다. ☞ 만삼에 비해 뿌리가 굵으며 잎이 모여 난다.,"한국(전국), 중국, 일본, 러시아",양유(羊乳),뿌리를 가을에 채취하여 햇볕에 말린다.,"강장보호, 거담, 건위, 경련, 경풍, 고혈압, 고환염, 보익, 보폐, 소종배농, 식도암, 안오장, 옹종, 유방암, 유선염, 유즙결핍, 음낭습, 음부질병, 음양음창, 인후염, 임파선염, 정력증진, 제습, 천식, 최유, 편도선염, 폐기천식, 폐혈, 풍한, 피부노화방지, 후두염, 건비위, 흉통 등","(내복): 탕전(湯煎)하거나, 가루 내어 복용한다. (외용): 짓찧어 상처부위에 붙이거나, 물로 달여서 상처부위를 닦아낸다"
424,피자식물/쌍자엽식물,수염가래꽃,초롱꽃과(Campanulaceae),Lobelia chinensis Lour.,습지에 자라는 다년초로서 높이 3∼15㎝이고 옆으로 벋으며 군데군데 뿌리가 내린다. 잎은 호생하며 2줄로 배열되며 피침형 또는 좁은 타원형이며 가장자리에 톱니가 있다. 꽃은 연한 자주색으로 5∼8월에 잎겨드랑이에 1∼2개씩 달린다. 열매는 삭과이며 종자는 적갈색이다. ☞ 숫잔대와 비교하면 줄기 기부가 기며 꽃은 엽액에 단생한다.,"한국(전국), 중국, 일본, 대만, 인도지나",반변련(半邊蓮),전초를 개화기에 채취하여 그늘에서 말리거나 생것을 쓴다.,"간경변증, 간염, 간장암, 개선, 관장, 급성간염, 백일해, 습진, 신장암, 옹종, 위암, 이뇨소종, 전립선염, 종독, 지혈, 직장암, 천식, 청열해독, 충독, 호흡곤란, 폐기천식, 해독, 황달, 흥분","(내복): 탕전(湯煎)하거나, 즙을 내어 복용한다. (외용): 짓찧어 상처부위에 붙이거나, 즙을 내어 바른다."
425,피자식물/쌍자엽식물,도라지,초롱꽃과(Campanulaceae),Platycodon grandiflorum (Jacq.) A.DC.,산야에 자라는 다년초로서 높이 40∼100㎝이고 뿌리가 굵으며 자르면 유액이 나온다. 잎은 장난형 또는 넓은 피침형으로 끝이 뾰족하다. 꽃은 하늘색 또는 백색으로 7∼8월 원줄기 끝에 1개 또는 여러 개가 위를 향해 핀다. 열매는 삭과로 꽃받침이 달려 있다. ☞ 애기도라지에 비해 심피가 꽃받침 조각 및 수술과 호생한다.,"한국(전국), 중국, 일본, 러시아",길경(桔梗),뿌리를 가을부터 봄에 채취하여 외피를 벗기고 햇볕에 말린다.,"감기, 거담, 고혈압, 골절, 기관지염, 늑막염, 담, 배농, 보익, 복통, 선폐거담, 소아 해열, 실뇨, 옹종, 위산과다증, 인후 통증, 임파선염, 종기, 종독, 지혈, 진정, 진통, 척추질환, 천식, 치핵, 탄산 토산, 토혈 각혈, 편도선염, 폐결핵, 폐기천식, 폐혈, 해소, 해열, 후두염 등","(내복): 탕전(湯煎)하거나, 즙을 내어 복용한다. (외용): 짓찧어 상처부위에 붙이거나, 즙을 내어 바른다."
426,피자식물/쌍자엽식물,우엉,국화과(Compositae),Arctium lappa L.,중국 원산으로 재배하는 이년 초로서 높이가 1.5m에 달하며 뿌리는 길이 30∼60㎝ 정도 곧추 들어간다. 뿌리에서 돋은 잎은 총생하며 잎자루가 길고 심장형이며 뒷면에 흰털이 밀생하고 가장자리에 치아상 톱니가 있다. 꽃은 7월에 원줄기와 가지 끝에 산방상으로 달린다.,"한국(전국), 중국, 일본, 러시아, 몽고, 유럽",우방자(牛傍子),과실 성숙기에 채취하여 종자를 취하여 햇볕에 말린다.,"각기, 간장암, 강장보호, 개선, 거담, 경선결핵, 관절염, 구열, 담, 대장암, 식도암, 연주창, 열광, 옹종, 외이도염, 월경이상, 위경련, 유방암, 음낭습, 음양음창, 이뇨, 인후염, 인후통증, 종기, 중풍, 충치, 통리수도, 편도선염, 폐암, 풍비, 피부소양증, 해수, 해열, 홍역 등","(내복): 탕전(湯煎)하거나, 산제로 하여 복용한다. (외용): 물로 달여서 상처부위에 김을 쐬고 닦아 낸다."
427,피자식물/쌍자엽식물,개똥쑥,국화과(Compositae),Artemisia annua L.,길가나 산기슭에 자라는 일년초로서 높이가 1m에 달하고 털이 없으며 강한 냄새가 난다. 잎은 호생하고 3회 우상복엽이며 표면에 가루 같은 잔털과 선점이 있고 중축이 빗살 모양이다. 꽃은 황록색으로 6∼8월에 두상화서가 이삭처럼 달려서 원추화서로 된다. 열매는 수과이다 . ☞ 개사철쑥과 비교하면 잎이 3회 우상으로 분열하고 가장자리가 밋밋하다.,"한국(전국), 중국, 일본, 대만, 러시아, 인도, 유럽, 북미",청호(靑蒿),전초를 가을철 꽃이 필 때 채취하여 말린다.,"감기, 개선, 건위, 경련, 구토, 소아 경풍, 안질, 양혈, 열질, 유두파열, 이뇨, 인플루엔자, 일체안병, 제습, 진경, 창종, 청열거풍, 최토제, 퇴허열, 풍습, 학질, 해성, 해열, 황달.",(내복): 탕전(湯煎)하여 복용한다. ☞ 말라리아 치료제로 개발됨
410,피자식물/쌍자엽식물,쥐오줌풀,마타리과(Valerianaceae),Valeriana fauriei Briq.,산의 음습한 곳에 자라는 다년초로서 높이 40∼80㎝이고 뿌리에 강한 향기가 있다. 뿌리에 돋은 잎은 꽃이 필 때 없어지며 줄기에 달린 잎은 대생하고 7∼8개로 갈라지고 열편에 톱니가 있다. 꽃은 홍색으로 5∼8월에 원줄기와 가지 끝에 산방상으로 달린다. 열매는 수과로 윗부분에 관모 상으로 달려 바람에 날린다 ☞ 넓은 쥐오줌풀에 비해 전체가 소형이고 마디 외에도 털이 있다.,"한국(전국), 중국, 일본, 대만",힐초근(ㅁ草根),뿌리를 가을에 채취하여 햇볕에 말린다.,"간질, 경련, 고혈압, 신경과민, 심신불안, 요통, 월경부조, 월경이상, 위약, 정신분열증, 진경, 진정, 진통, 타박상, 탈항, 히스테리","(내복): 탕전(湯煎)하거나, 산제로 또는 술에 담가 복용한다."
